Example 5-20: Stink bug damage to soybean pods
 
  Stink bug       Plant        Pod     Shriveling
   species       number      number      rating
 ------------------------------------------------
  S.Green           1          11           1
  S.Green           1          12           5
  S.Green           1          13           1
  S.Green           1          14           1
  S.Green           1          15           1
  S.Green           1          16           1
  S.Green           1          17           5
  S.Green           1          18           1
  S.Green           1          19           1
  S.Green           1          20           1
  S.Green           1          21           1
  S.Green           1          22           5
  S.Green           1          23           5
  S.Green           1          24           1
  S.Green           1          25           1
  S.Green           2           1           1
  S.Green           2           2           1
  S.Green           2           3           5
  S.Green           2           4           1
  S.Green           2           5           1
  S.Green           2           6           5
  S.Green           2           7           1
  S.Green           2           8           1
  S.Green           2           9           5
  S.Green           2          10           1
  S.Green           2          11           1
  S.Green           2          12           5
  S.Green           2          13           1
  S.Green           2          14           5
  S.Green           2          15           1
  S.Green           2          16           1
  S.Green           2          17           1
  S.Green           2          18           1
  S.Green           2          19           2
  S.Green           2          20           1
  S.Green           2          21           1
  S.Green           2          22           1
  S.Green           2          23           5
  S.Green           2          24           1
  S.Green           2          25           1
  S.Green           2          26           2
  S.Green           2          27           1
  S.Green           2          28           1
  S.Green           2          29           1
  S.Green           2          30           1
  S.Green           2          31           5
  S.Green           2          32           1
  S.Green           2          33           5
  S.Green           2          34           2
  S.Green           2          35           1
  S.Green           2          36           1
  S.Green           2          37           1
  S.Green           2          38           5
  S.Green           2          39           1
  S.Green           2          40           1
  S.Green           3           1           1
  S.Green           3           2           5
  S.Green           3           3           1
  S.Green           3           4           1
  S.Green           3           5           1
  S.Green           3           6           1
  S.Green           3           7           1
  S.Green           3           8           1
  S.Green           3           9           5
  S.Green           3          10           3
  S.Green           3          11           4
  S.Green           3          12           4
  S.Green           3          13           1
  S.Green           3          14           5
  S.Green           3          15           1
  S.Green           3          16           2
  S.Green           3          17           1
  S.Green           3          18           1
  S.Green           3          19           1
  S.Green           3          20           1
  S.Green           3          21           5
  S.Green           4           1           1
  S.Green           4           2           1
  S.Green           4           3           5
  S.Green           4           4           1
  S.Green           4           5           1
  S.Green           4           6           1
  S.Green           4           7           1
  S.Green           4           8           1
  S.Green           4           9           2
  S.Green           4          10           1
  S.Green           4          11           5
  S.Green           4          12           5
  S.Green           4          13           2
  S.Green           4          14           1
  S.Green           4          15           1
  S.Green           4          16           4
  S.Green           4          17           3
  S.Green           4          18           5
  S.Green           4          19           1
  S.Green           4          20           5
  S.Green           4          21           1
  S.Green           4          22           1
  S.Green           4          23           1
  S.Green           4          24           3
  S.Green           4          25           5
  S.Green           4          26           1
  S.Green           4          27           1
  S.Green           4          28           1
  S.Green           4          29           1
  S.Green           4          30           1
  S.Green           4          31           5
  S.Green           4          32           5
  S.Green           4          33           1
  S.Green           4          34           1
  S.Green           4          35           5
  S.Green           4          36           1
  S.Green           4          37           5
  S.Green           4          38           5
  S.Green           4          39           1
  S.Green           4          40           1
  S.Green           4          41           5
  S.Green           4          42           2
  S.Green           4          43           1
  S.Green           4          44           5
  S.Green           5           1           1
  S.Green           5           2           1
  S.Green           5           3           1
  S.Green           5           4           1
  S.Green           5           5           2
  S.Green           5           6           1
  S.Green           5           7           1
  S.Green           5           8           5
  S.Green           5           9           2
  S.Green           5          10           5
  S.Green           5          11           1
  S.Green           5          12           1
  S.Green           5          13           1
  S.Green           5          14           5
  S.Green           5          15           5
  S.Green           5          16           5
  S.Green           5          17           1
  S.Green           5          18           1
  S.Green           5          19           5
  S.Green           5          20           1
  S.Green           5          21           1
  S.Green           5          22           1
  S.Green           5          23           5
  S.Green           5          24           5
  S.Green           5          25           5
  S.Green           5          26           1
  S.Green           5          27           5
  S.Green           5          28           5
  S.Green           5          29           1
  S.Green           5          30           1
  S.Green           5          31           1
  S.Green           5          32           1
  S.Green           5          33           5
  S.Green           5          34           1
  S.Green           5          35           5
  S.Green           5          36           1
  S.Green           5          37           1
  S.Green           5          38           4
  S.Green           5          39           5
  S.Green           5          40           1
  S.Green           5          41           5
  S.Green           5          42           1
  S.Green           5          43           1
  S.Green           5          44           1
  S.Green           5          45           1
  S.Green           5          46           1
  S.Green           5          47           1
  S.Green           6           1           3
  S.Green           6           2           1
  S.Green           6           3           1
  S.Green           6           4           1
  S.Green           6           5           1
  S.Green           6           6           2
  S.Green           6           7           2
  S.Green           6           8           5
  S.Green           6           9           1
  S.Green           6          10           5
  S.Green           6          11           5
  S.Green           6          12           1
  S.Green           6          13           5
  S.Green           6          14           1
  S.Green           6          15           1
  S.Green           6          16           1
  S.Green           6          17           4
  S.Green           6          18           1
  S.Green           6          19           1
  S.Green           6          20           1
  S.Green           6          21           1
  S.Green           6          22           5
  S.Green           6          23           1
  S.Green           6          24           5
  S.Green           6          25           2
  S.Green           6          26           1
  S.Green           6          27           1
  S.Green           6          28           1
  S.Green           7           1           3
  S.Green           7           2           3
  S.Green           7           3           5
  S.Green           7           4           4
  S.Green           7           5           5
  S.Green           7           6           4
  S.Green           7           7           3
  S.Green           7           8           3
  S.Green           7           9           4
  S.Green           7          10           4
  S.Green           7          11           3
  S.Green           7          12           5
  S.Green           7          13           5
  S.Green           7          14           2
  S.Green           7          15           2
  S.Green           7          16           1
  S.Green           7          17           2
  S.Green           7          18           1
  S.Green           7          19           5
  S.Green           7          20           2
  S.Green           7          21           3
  S.Green           7          22           3
  S.Green           7          23           5
  S.Green           7          24           2
  S.Green           7          25           2
  S.Green           7          26           2
  S.Green           7          27           1
  S.Green           7          28           1
  S.Green           7          29           1
  S.Green           7          30           1
  S.Green           7          31           2
  S.Green           8           1           1
  S.Green           8           2           1
  S.Green           8           3           5
  S.Green           8           4           5
  S.Green           8           5           2
  S.Green           8           6           1
  S.Green           8           7           5
  S.Green           8           8           1
  S.Green           8           9           5
  S.Green           8          10           5
  S.Green           8          11           5
  S.Green           8          12           1
  S.Green           8          13           1
  S.Green           8          14           1
  S.Green           8          15           1
  S.Green           8          16           1
  S.Green           8          17           5
  S.Green           8          18           5
  S.Green           8          19           1
  S.Green           8          20           1
  S.Green           8          21           1
  S.Green           8          22           2
  S.Green           8          23           1
  S.Green           8          24           3
  S.Green           8          25           1
  S.Green           8          26           1
  S.Green           8          27           1
  S.Green           8          28           1
  S.Green           8          29           5
  S.Green           8          30           1
  S.Green           8          31           1
  S.Green           8          32           1
  S.Green           8          33           5
  S.Green           8          34           1
  S.Green           8          35           1
  S.Green           9           1           1
  S.Green           9           2           1
  S.Green           9           3           1
  S.Green           9           4           1
  S.Green           9           5           1
  S.Green           9           6           5
  S.Green           9           7           3
  S.Green           9           8           1
  S.Green           9           9           1
  S.Green           9          10           1
  S.Green           9          11           1
  S.Green           9          12           5
  S.Green           9          13           2
  S.Green           9          14           2
  S.Green           9          15           5
  S.Green           9          16           5
  S.Green           9          17           5
  S.Green           9          18           5
  S.Green           9          19           5
  S.Green           9          20           1
  S.Green           9          21           1
  S.Green           9          22           5
  S.Green           9          23           1
  S.Green           9          24           1
  S.Green           9          25           1
  S.Green           9          26           1
  S.Green           9          27           1
  S.Green           9          28           1
  S.Green           9          29           1
  S.Green           9          30           1
  S.Green           9          31           1
  S.Green           9          32           1
  S.Green           9          33           5
  S.Green           9          34           1
  S.Green           9          35           5
  S.Green           9          36           1
  S.Green           9          37           5
  S.Green           9          38           5
  S.Green           9          39           5
  S.Green           9          40           1
  S.Green           9          41           5
  S.Green           9          42           1
  S.Green           9          43           1
  S.Green           9          44           1
  S.Green          10           1           5
  S.Green          10           2           5
  S.Green          10           3           5
  S.Green          10           4           1
  S.Green          10           5           5
  S.Green          10           6           1
  S.Green          10           7           1
  S.Green          10           8           5
  S.Green          10           9           1
  S.Green          10          10           1
  S.Green          10          11           1
  S.Green          10          12           1
  S.Green          10          13           1
  S.Green          10          14           1
  S.Green          10          15           1
  S.Green          10          16           5
  S.Green          10          17           1
  S.Green          10          18           5
  S.Green          10          19           1
  S.Green          10          20           1
  S.Green          10          21           1
  S.Green          10          22           1
  S.Green          10          23           4
  S.Green          10          24           1
  S.Green          10          25           1
